Coded Value,Type of Time Unit,Applies to Database Schema
1000,DAYS,FIRM
1010,HOURS,FIRM
1020,MINUTES,FIRM
1030,MONTHS,FIRM
1040,SECONDS,FIRM
1050,WEEKS,FIRM
1060,YEARS,FIRM
