Coded Value,Font Description,Applies to Database Schema
1000,Arial,FIRM
1010,Arial Narrow,FIRM
2000,Franklin Gothic Book,FIRM
2010,Franklin Gothic Medium,FIRM
2020,Franklin Gothic Medium Cond,FIRM
3000,Times New Roman,FIRM
4000,Verdana,FIRM
NP,NP,FIRM
